Frame 0, Rot 0, Dist 0; 
Frame 490, Rot 1.9463, Dist 0.479711; 
Frame 490, Rot 1.94591, Dist 0.484804; 
Frame 491, Rot 1.94575, Dist 0.482274; 
Frame 491, Rot 1.94565, Dist 0.480905; 
Frame 492, Rot 1.94646, Dist 0.478768; 
Frame 492, Rot 1.94648, Dist 0.482791; 
Frame 493, Rot 1.9462, Dist 0.481308; 
Frame 493, Rot 1.94593, Dist 0.486976; 
Frame 494, Rot 1.946, Dist 0.484844; 
Frame 494, Rot 1.94615, Dist 0.48151; 
Frame 495, Rot 1.94671, Dist 0.478782; 
Frame 495, Rot 1.9466, Dist 0.486758; 
Frame 496, Rot 1.94652, Dist 0.48499; 
Frame 496, Rot 1.9466, Dist 0.486308; 
Frame 497, Rot 1.94663, Dist 0.484342; 
Frame 497, Rot 1.94635, Dist 0.488313; 
Frame 498, Rot 1.94602, Dist 0.480655; 
Frame 498, Rot 1.74815, Dist 4.44008; 
Frame 499, Rot 1.74674, Dist 4.44473; 
Frame 499, Rot 1.94599, Dist 0.479536; 
Frame 500, Rot 1.94632, Dist 0.479725; 
Frame 500, Rot 1.94641, Dist 0.480438; 
Frame 501, Rot 1.94627, Dist 0.477455; 
Frame 501, Rot 1.94673, Dist 0.490353; 
Frame 502, Rot 1.94726, Dist 0.487578; 
Frame 502, Rot 1.63786, Dist 0.482553; 
Frame 503, Rot 1.6392, Dist 0.479574; 
Frame 503, Rot 1.94638, Dist 0.485398; 
Frame 504, Rot 1.94696, Dist 0.484411; 
Frame 504, Rot 1.94714, Dist 0.483752; 
Frame 505, Rot 1.947, Dist 0.479954; 
Frame 505, Rot 1.94687, Dist 0.484528; 
Frame 506, Rot 1.94722, Dist 0.483175; 
Frame 506, Rot 1.94681, Dist 0.484918; 
Frame 507, Rot 1.94668, Dist 0.478009; 
Frame 507, Rot 1.94702, Dist 0.48382; 
Frame 508, Rot 1.94718, Dist 0.477893; 
Frame 508, Rot 1.94642, Dist 0.476885; 
Frame 509, Rot 1.94685, Dist 0.475237; 
Frame 509, Rot 1.94711, Dist 0.47798; 
Frame 510, Rot 1.94734, Dist 0.477847; 
Frame 510, Rot 1.94724, Dist 0.48975; 
Frame 511, Rot 1.94721, Dist 0.486666; 
Frame 511, Rot 1.9473, Dist 0.485384; 
Frame 512, Rot 1.94749, Dist 0.488276; 
Frame 512, Rot 1.71523, Dist 3.37597; 
Frame 513, Rot 1.02277, Dist 3.32288; 
Frame 513, Rot 1.04099, Dist 2.97224; 
Frame 514, Rot 1.04505, Dist 2.96913; 
Frame 515, Rot 0.00820447, Dist 0.0420087; 
Frame 516, Rot 0.448643, Dist 0.492985; 
Frame 516, Rot 1.94849, Dist 0.492399; 
Frame 517, Rot 2, Dist 0.00603136; 
Frame 517, Rot 0.455312, Dist 0.509692; 
Frame 518, Rot 0.453898, Dist 0.506185; 
Frame 518, Rot 0.451714, Dist 0.506443; 
Frame 519, Rot 1.94865, Dist 0.501099; 
Frame 520, Rot 0.0111707, Dist 0.0152617; 
Frame 520, Rot 1.9477, Dist 0.524081; 
Frame 521, Rot 0.00585549, Dist 0.00989035; 
Frame 521, Rot 0.445457, Dist 0.506743; 
Frame 522, Rot 1.83104, Dist 21.7439; 
Frame 522, Rot 0.812221, Dist 21.7436; 
Frame 523, Rot 2, Dist 0.00166663; 
Frame 523, Rot 0.437835, Dist 0.553695; 
Frame 524, Rot 1.08728, Dist 3.40339e+06; 
Frame 524, Rot 0.891494, Dist 3.40339e+06; 
Frame 525, Rot 0.452035, Dist 0.497352; 
Frame 525, Rot 0.452417, Dist 0.496879; 
Frame 526, Rot 0.451962, Dist 0.500163; 
Frame 526, Rot 0.451799, Dist 0.499366; 
Frame 527, Rot 0.4527, Dist 0.496795; 
Frame 527, Rot 0.452027, Dist 0.494397; 
Frame 528, Rot 0.45321, Dist 0.49535; 
Frame 528, Rot 1.9484, Dist 0.491193; 
Frame 529, Rot 1.99999, Dist 0.0326973; 
Frame 529, Rot 0.911111, Dist 109.167; 
Frame 530, Rot 1.78331, Dist 109.163; 
Frame 530, Rot 1.94628, Dist 0.492452; 
Frame 531, Rot 0.00654046, Dist 0.0114311; 
Frame 531, Rot 1.94812, Dist 0.505419; 
Frame 532, Rot 0.679418, Dist 5.72425e+07; 
Frame 532, Rot 0.678958, Dist 5.72425e+07; 
Frame 533, Rot 2, Dist 0.0117005; 
Frame 533, Rot 0.444274, Dist 0.525861; 
Frame 534, Rot 0.01462, Dist 0.0403741; 
Frame 534, Rot 1.94638, Dist 0.502739; 
Frame 535, Rot 1.9456, Dist 0.50216; 
Frame 535, Rot 1.9459, Dist 0.507856; 
Frame 536, Rot 1.94621, Dist 0.501927; 
Frame 536, Rot 1.94621, Dist 0.499887; 
Frame 537, Rot 1.94814, Dist 0.516372; 
Frame 537, Rot 1.94832, Dist 0.51986; 
Frame 538, Rot 1.94627, Dist 0.516342; 
Frame 538, Rot 1.94636, Dist 0.517537; 
Frame 539, Rot 1.65283, Dist 0.498486; 
Frame 539, Rot 1.11926, Dist 0.479499; 
Frame 540, Rot 1.40981, Dist 3.83344; 
Frame 540, Rot 1.40722, Dist 3.82884; 
Frame 541, Rot 1.12061, Dist 0.481793; 
Frame 541, Rot 1.65497, Dist 0.493722; 
Frame 542, Rot 0.574405, Dist 9.31701; 
Frame 542, Rot 0.573876, Dist 9.31949; 
Frame 543, Rot 1.12141, Dist 0.486799; 
Frame 543, Rot 1.12275, Dist 0.487765; 
Frame 544, Rot 0.0100165, Dist 0.0448616; 
Frame 544, Rot 1.94987, Dist 0.504018; 
Frame 545, Rot 1.94855, Dist 0.51113; 
Frame 545, Rot 1.9446, Dist 0.501045; 
Frame 546, Rot 0.890946, Dist 24.7577; 
Frame 546, Rot 1.93614, Dist 25.0791; 
Frame 547, Rot 1.9474, Dist 0.507595; 
Frame 547, Rot 1.94759, Dist 0.505624; 
Frame 548, Rot 1.86287, Dist 7.98544; 
Frame 548, Rot 1.86273, Dist 7.99359; 
Frame 549, Rot 0.00572831, Dist 0.018013; 
Frame 549, Rot 1.94476, Dist 0.522964; 
Frame 550, Rot 1.98988, Dist 3.70326; 
Frame 550, Rot 0.573127, Dist 4.07005; 
Frame 551, Rot 1.12089, Dist 0.47594; 
Frame 551, Rot 1.12224, Dist 0.475768; 
Frame 552, Rot 1.94278, Dist 0.519809; 
Frame 552, Rot 1.94336, Dist 0.513325; 
Frame 553, Rot 1.94383, Dist 0.531605; 
Frame 553, Rot 1.94344, Dist 0.528928; 
Frame 554, Rot 1.9455, Dist 0.535266; 
Frame 554, Rot 1.94525, Dist 0.526538; 
Frame 555, Rot 1.94466, Dist 0.533165; 
Frame 555, Rot 1.9444, Dist 0.533881; 
Frame 556, Rot 1.12313, Dist 0.48557; 
Frame 556, Rot 1.12373, Dist 0.488278; 
Frame 557, Rot 1.66811, Dist 0.891098; 
Frame 557, Rot 1.66785, Dist 0.873212; 
Frame 558, Rot 0.472314, Dist 0.480608; 
Frame 558, Rot 0.476314, Dist 0.469675; 
Frame 559, Rot 1.12267, Dist 0.470727; 
Frame 559, Rot 1.12703, Dist 0.481345; 
Frame 560, Rot 0.479863, Dist 0.499102; 
Frame 560, Rot 0.480249, Dist 0.496157; 
Frame 561, Rot 1.94209, Dist 0.522019; 
Frame 561, Rot 1.94216, Dist 0.52354; 
Frame 562, Rot 0.00207174, Dist 0.0199678; 
Frame 562, Rot 0.697958, Dist 9.47598; 
Frame 563, Rot 0.143709, Dist 1.83072; 
Frame 563, Rot 0.80366, Dist 7.63823; 
Frame 564, Rot 1.12517, Dist 0.503024; 
Frame 564, Rot 1.12175, Dist 0.485227; 
Frame 565, Rot 1.80138, Dist 48.243; 
Frame 565, Rot 1.79748, Dist 48.2746; 
Frame 566, Rot 1.36426, Dist 292.767; 
Frame 566, Rot 1.36601, Dist 292.745; 
Frame 567, Rot 1.91858, Dist 8.68151; 
Frame 567, Rot 1.91794, Dist 8.69072; 
Frame 568, Rot 1.65079, Dist 0.509569; 
Frame 568, Rot 1.65116, Dist 0.507695; 
Frame 569, Rot 1.12712, Dist 0.523244; 
Frame 569, Rot 1.12868, Dist 0.516379; 
Frame 570, Rot 0.477494, Dist 0.540916; 
Frame 570, Rot 0.477668, Dist 0.532949; 
Frame 571, Rot 0.316108, Dist 17.1439; 
Frame 571, Rot 0.318087, Dist 17.1547; 
Frame 572, Rot 0.44522, Dist 3.08324; 
Frame 572, Rot 0.446762, Dist 3.07348; 
Frame 573, Rot 1.41792, Dist 83.5636; 
Frame 573, Rot 1.41469, Dist 83.5577; 
Frame 574, Rot 1.84323, Dist 11.588; 
Frame 574, Rot 1.84224, Dist 11.5734; 
Frame 575, Rot 0.421984, Dist 7.22441; 
Frame 575, Rot 0.42335, Dist 7.22918; 
Frame 576, Rot 1.01497, Dist 3.20838; 
Frame 576, Rot 1.01576, Dist 3.20429; 
Frame 577, Rot 1.73108, Dist 3.78276; 
Frame 577, Rot 1.72977, Dist 3.77904; 
Frame 578, Rot 0.232319, Dist 11.2478; 
Frame 578, Rot 0.230983, Dist 11.2348; 
Frame 579, Rot 1.94219, Dist 10.2506; 
Frame 579, Rot 1.94288, Dist 10.2251; 
Frame 580, Rot 0.766041, Dist 73.1024; 
Frame 580, Rot 0.767668, Dist 73.1145; 
Frame 581, Rot 1.39675, Dist 205.436; 
Frame 581, Rot 1.39667, Dist 205.428; 
Frame 582, Rot 0.842821, Dist 5.09383; 
Frame 582, Rot 0.843945, Dist 5.08977; 
Frame 583, Rot 0.00901327, Dist 0.0313762; 
Frame 583, Rot 1.13891, Dist 0.487936; 
Frame 584, Rot 0.0102213, Dist 0.0242839; 
Frame 584, Rot 1.13578, Dist 0.479302; 
Frame 585, Rot 1.13356, Dist 0.538713; 
Frame 585, Rot 1.13532, Dist 0.53911; 
Frame 586, Rot 0.519318, Dist 16.0873; 
Frame 586, Rot 0.520406, Dist 16.0861; 
Frame 587, Rot 1.13801, Dist 0.507745; 
Frame 587, Rot 1.13769, Dist 0.501135; 
Frame 588, Rot 1.41794, Dist 96.7229; 
Frame 588, Rot 1.41848, Dist 96.7141; 
Frame 589, Rot 0.01447, Dist 0.0101533; 
Frame 590, Rot 0.0181012, Dist 0.0274287; 
Frame 590, Rot 1.14052, Dist 0.499941; 
Frame 591, Rot 1.52689, Dist 0.0362855; 
Frame 591, Rot 1.94382, Dist 0.527734; 
Frame 592, Rot 0.00817854, Dist 0.0190148; 
Frame 593, Rot 0.0109622, Dist 0.0176151; 
Frame 594, Rot 1.13112, Dist 0.512192; 
Frame 594, Rot 1.13379, Dist 0.520958; 
Frame 595, Rot 0.00500432, Dist 0.000753461; 
Frame 596, Rot 0.00294681, Dist 0.00563212; 
Frame 597, Rot 1.13305, Dist 0.565617; 
Frame 597, Rot 1.13306, Dist 0.569834; 
Frame 598, Rot 1.13269, Dist 0.534559; 
Frame 598, Rot 1.13131, Dist 0.525236; 
Frame 599, Rot 1.82505, Dist 7.7732; 
Frame 599, Rot 1.82582, Dist 7.76124; 
Frame 600, Rot 0.0097542, Dist 0.00501644; 
Frame 601, Rot 1.06438, Dist 8.31199; 
Frame 601, Rot 1.061, Dist 8.32957; 
Frame 602, Rot 1.12961, Dist 0.555312; 
Frame 602, Rot 1.13337, Dist 0.551508; 
Frame 603, Rot 0.00664792, Dist 0.0203731; 
Frame 604, Rot 0.00648569, Dist 0.0163343; 
Frame 604, Rot 1.38783, Dist 75.7733; 
Frame 605, Rot 1.38957, Dist 75.7391; 
Frame 605, Rot 1.12653, Dist 0.526479; 
Frame 606, Rot 1.53278, Dist 0.00346139; 
Frame 606, Rot 1.94293, Dist 0.535905; 
Frame 607, Rot 1.94352, Dist 0.53846; 
Frame 607, Rot 1.94297, Dist 0.538407; 
Frame 608, Rot 1.38418, Dist 39.2852; 
Frame 608, Rot 1.38473, Dist 39.2702; 
Frame 609, Rot 0.855489, Dist 7.47593; 
Frame 609, Rot 0.854292, Dist 7.47558; 
Frame 610, Rot 1.73568, Dist 4.1368; 
Frame 610, Rot 1.73521, Dist 4.13067; 
Frame 611, Rot 1.47081, Dist 65.0019; 
Frame 611, Rot 1.46939, Dist 64.9932; 
Frame 612, Rot 1.13108, Dist 0.536024; 
Frame 612, Rot 1.12928, Dist 0.537352; 
Frame 613, Rot 0.781413, Dist 16.9347; 
Frame 613, Rot 0.783077, Dist 16.9369; 
Frame 614, Rot 1.12819, Dist 0.561468; 
Frame 614, Rot 1.13064, Dist 0.561153; 
Frame 615, Rot 1.13289, Dist 0.570119; 
Frame 615, Rot 1.13101, Dist 0.562095; 
Frame 616, Rot 1.49578, Dist 42.6236; 
Frame 616, Rot 1.4931, Dist 42.6134; 
Frame 617, Rot 1.13229, Dist 0.530611; 
Frame 617, Rot 1.13344, Dist 0.53237; 
Frame 618, Rot 0.484738, Dist 12.3129; 
Frame 618, Rot 0.486495, Dist 12.3191; 
Frame 619, Rot 1.93985, Dist 0.554154; 
Frame 619, Rot 1.93842, Dist 0.536982; 
Frame 620, Rot 0.00436856, Dist 0.00212293; 
Frame 621, Rot 1.28359, Dist 60.1414; 
Frame 621, Rot 1.28413, Dist 60.1473; 
Frame 622, Rot 1.13114, Dist 0.553319; 
Frame 622, Rot 1.1314, Dist 0.533077; 
Frame 623, Rot 0.0164674, Dist 0.0396312; 
Frame 624, Rot 0.461347, Dist 12.8874; 
Frame 624, Rot 0.463739, Dist 12.9513; 
Frame 625, Rot 1.9378, Dist 0.561844; 
Frame 625, Rot 1.93877, Dist 0.55756; 
Frame 626, Rot 0.40658, Dist 0.728092; 
Frame 626, Rot 0.409758, Dist 0.724398; 
Frame 627, Rot 0.008477, Dist 0.0189481; 
Frame 628, Rot 1.14031, Dist 0.547869; 
Frame 628, Rot 1.13439, Dist 0.539957; 
Frame 629, Rot 0.00465709, Dist 0.00235477; 
Frame 630, Rot 0.701653, Dist 10.5182; 
Frame 630, Rot 0.70202, Dist 10.5273; 
Frame 631, Rot 1.64663, Dist 0.5615; 
Frame 631, Rot 1.64621, Dist 0.564018; 
Frame 632, Rot 1.13777, Dist 0.582368; 
Frame 632, Rot 1.13534, Dist 0.562985; 
Frame 633, Rot 1.40652, Dist 30.9193; 
Frame 633, Rot 1.4072, Dist 30.9257; 
Frame 634, Rot 1.13882, Dist 0.545634; 
Frame 634, Rot 1.13863, Dist 0.54021; 
Frame 635, Rot 1.13885, Dist 0.530403; 
Frame 635, Rot 1.13905, Dist 0.525297; 
Frame 636, Rot 0.00684045, Dist 0.0307091; 
Frame 637, Rot 1.13702, Dist 0.552891; 
Frame 637, Rot 1.14541, Dist 0.568132; 
Frame 638, Rot 0.00699372, Dist 0.0407282; 
Frame 638, Rot 1.14139, Dist 0.620019; 
Frame 639, Rot 0.0103658, Dist 0.139009; 
Frame 639, Rot 1.14358, Dist 0.540994; 
Frame 640, Rot 1.1422, Dist 0.563232; 
Frame 640, Rot 1.14077, Dist 0.550131; 
Frame 641, Rot 0.00290976, Dist 0.0470903; 
Frame 642, Rot 1.14191, Dist 0.520476; 
Frame 642, Rot 1.14787, Dist 0.511883; 
Frame 643, Rot 1.14581, Dist 0.545924; 
Frame 643, Rot 1.14802, Dist 0.563703; 
Frame 644, Rot 1.14821, Dist 0.562789; 
Frame 644, Rot 1.14802, Dist 0.568384; 
Frame 645, Rot 1.14753, Dist 0.616536; 
Frame 645, Rot 1.14782, Dist 0.601586; 
Frame 646, Rot 1.15084, Dist 0.539; 
Frame 646, Rot 1.15055, Dist 0.554416; 
Frame 647, Rot 0.0121458, Dist 0.00654011; 
Frame 648, Rot 1.15393, Dist 0.638331; 
Frame 648, Rot 1.15013, Dist 0.627996; 
Frame 649, Rot 1.14933, Dist 0.587997; 
Frame 649, Rot 1.15032, Dist 0.578579; 
Frame 650, Rot 1.71966, Dist 0.039152; 
Frame 651, Rot 0.00602839, Dist 0.00985815; 
Frame 652, Rot 1.70888, Dist 0.0119335; 
Frame 653, Rot 1.15735, Dist 0.677771; 
Frame 653, Rot 1.1585, Dist 0.666465; 
Frame 654, Rot 0.00200391, Dist 0.0130902; 
Frame 654, Rot 1.16088, Dist 0.665061; 
Frame 655, Rot 0.0085011, Dist 0.0300943; 
Frame 655, Rot 1.16545, Dist 0.63607; 
Frame 656, Rot 1.1671, Dist 0.6152; 
Frame 656, Rot 1.16459, Dist 0.606385; 
Frame 657, Rot 0.0064209, Dist 0.00786574; 
Frame 658, Rot 1.16371, Dist 0.630538; 
Frame 658, Rot 1.16453, Dist 0.620207; 
Frame 659, Rot 1.16577, Dist 0.620752; 
Frame 659, Rot 1.16793, Dist 0.620978; 
Frame 660, Rot 1.16599, Dist 0.655999; 
Frame 660, Rot 1.16755, Dist 0.63249; 
Frame 661, Rot 1.17224, Dist 0.589837; 
Frame 661, Rot 1.16895, Dist 0.580917; 
Frame 662, Rot 1.16646, Dist 0.600966; 
Frame 662, Rot 1.16841, Dist 0.609966; 
Frame 663, Rot 1.16677, Dist 0.653614; 
Frame 663, Rot 1.16831, Dist 0.649172; 
Frame 664, Rot 1.16973, Dist 0.641805; 
Frame 664, Rot 1.16679, Dist 0.639306; 
Frame 665, Rot 0.00747717, Dist 0.114374; 
Frame 666, Rot 1.1649, Dist 0.550479; 
Frame 666, Rot 1.17015, Dist 0.609056; 
Frame 667, Rot 1.17097, Dist 0.607376; 
Frame 667, Rot 1.16611, Dist 0.590717; 
Frame 668, Rot 1.16626, Dist 0.597369; 
Frame 668, Rot 1.16781, Dist 0.578721; 
Frame 669, Rot 1.16406, Dist 0.64465; 
Frame 669, Rot 1.16906, Dist 0.67766; 
Frame 670, Rot 1.17003, Dist 0.647104; 
Frame 670, Rot 1.16806, Dist 0.653154; 
Frame 671, Rot 1.16661, Dist 0.667685; 
Frame 671, Rot 1.16584, Dist 0.668921; 
Frame 672, Rot 0.00400936, Dist 0.0208409; 
Frame 672, Rot 1.167, Dist 0.700058; 
Frame 673, Rot 1.16442, Dist 0.679377; 
Frame 674, Rot 1.16522, Dist 0.678878; 
Frame 674, Rot 1.16781, Dist 0.702234; 
Frame 675, Rot 0.00495481, Dist 0.0297879; 
Frame 676, Rot 1.16659, Dist 0.646716; 
Frame 676, Rot 1.16669, Dist 0.64969; 
Frame 677, Rot 1.16798, Dist 0.651858; 
Frame 677, Rot 1.16812, Dist 0.647199; 
Frame 678, Rot 1.1659, Dist 0.69256; 
Frame 678, Rot 1.16783, Dist 0.700293; 
Frame 679, Rot 1.16974, Dist 0.676834; 
Frame 679, Rot 1.16858, Dist 0.658559; 
Frame 680, Rot 0.00879239, Dist 0.0151453; 
Frame 681, Rot 1.17226, Dist 0.665215; 
Frame 681, Rot 1.17012, Dist 0.65116; 
Frame 682, Rot 1.16926, Dist 0.666622; 
Frame 682, Rot 1.17034, Dist 0.668266; 
Frame 683, Rot 0.00161673, Dist 0.00172808; 
Frame 684, Rot 1.17043, Dist 0.667252; 
Frame 684, Rot 1.16974, Dist 0.658405; 
Frame 685, Rot 0.00124766, Dist 0.0248724; 
Frame 685, Rot 1.17094, Dist 0.657986; 
Frame 686, Rot 1.16517, Dist 0.602552; 
Frame 687, Rot 0.00639707, Dist 0.0446414; 
Frame 688, Rot 0, Dist0; 
Frame 689, Rot 0, Dist0; 
Frame 690, Rot 1.16501, Dist 0.692365; 
Frame 690, Rot 1.16665, Dist 0.691175; 
Frame 691, Rot 0.00542273, Dist 0.00165779; 
Frame 692, Rot 1.1707, Dist 0.734546; 
Frame 692, Rot 1.1699, Dist 0.724692; 
Frame 693, Rot 1.16794, Dist 0.752588; 
Frame 693, Rot 1.1669, Dist 0.734331; 
Frame 694, Rot 1.16705, Dist 0.721042; 
Frame 694, Rot 1.16885, Dist 0.728565; 
Frame 695, Rot 1.17006, Dist 0.72725; 
Frame 695, Rot 1.16812, Dist 0.72229; 
Frame 696, Rot 1.16805, Dist 0.725232; 
Frame 696, Rot 1.16858, Dist 0.713073; 
Frame 697, Rot 1.16879, Dist 0.748308; 
Frame 697, Rot 1.17017, Dist 0.742975; 
Frame 698, Rot 0.00266949, Dist 0.01219; 
Frame 699, Rot 0.00217609, Dist 0.00797712; 
Frame 700, Rot 1.17044, Dist 0.761856; 
Frame 700, Rot 1.17083, Dist 0.754838; 
Frame 701, Rot 1.17239, Dist 0.754359; 
Frame 701, Rot 1.17285, Dist 0.749722; 
Frame 702, Rot 1.17185, Dist 0.740066; 
Frame 702, Rot 1.1717, Dist 0.736221; 
Frame 703, Rot 0.0156962, Dist 0.0228016; 
Frame 704, Rot 1.49656, Dist 216.491; 
Frame 705, Rot 1.48634, Dist 216.466; 
Frame 705, Rot 1.94956, Dist 6.94614; 
Frame 706, Rot 1.94687, Dist 6.95571; 
Frame 707, Rot 0.0144357, Dist 0.0346827; 
Frame 708, Rot 0.00920524, Dist 0.0201438; 
Frame 708, Rot 1.17068, Dist 0.780937; 
Frame 709, Rot 1.16902, Dist 0.777082; 
Frame 710, Rot 1.1737, Dist 0.787381; 
Frame 710, Rot 1.17454, Dist 0.784295; 
Frame 711, Rot 1.17259, Dist 0.830176; 
Frame 711, Rot 1.17262, Dist 0.834017; 
Frame 712, Rot 0.0136998, Dist 0.0431926; 
Frame 713, Rot 0.0102909, Dist 0.0104981; 
Frame 714, Rot 0.00297159, Dist 0.0102535; 
Frame 715, Rot 0.00564576, Dist 0.0568697; 
Frame 716, Rot 0.00595207, Dist 0.0276137; 
Frame 717, Rot 0.00666034, Dist 0.0372379; 
Frame 718, Rot 0.00824905, Dist 0.0534165; 
Frame 719, Rot 1.17359, Dist 0.812725; 
Frame 719, Rot 1.17544, Dist 0.806448; 
Frame 720, Rot 0.00584203, Dist 0.0130829; 
Frame 721, Rot 0.0054416, Dist 0.00969834; 
Frame 722, Rot 0.00647207, Dist 0.0423657; 
Frame 723, Rot 0.00562987, Dist 0.0257233; 
Frame 724, Rot 1.17629, Dist 0.801714; 
Frame 724, Rot 1.17594, Dist 0.806528; 
Frame 725, Rot 0.00347655, Dist 0.0342141; 
Frame 726, Rot 1.17594, Dist 0.78176; 
Frame 726, Rot 1.17839, Dist 0.792115; 
Frame 727, Rot 0.00246567, Dist 0.0130561; 
Frame 728, Rot 1.17498, Dist 0.829695; 
Frame 728, Rot 1.1764, Dist 0.837152; 
Frame 729, Rot 1.1779, Dist 0.854322; 
Frame 729, Rot 1.17696, Dist 0.845585; 
Frame 730, Rot 0.0108652, Dist 0.0964763; 
Frame 731, Rot 1.17262, Dist 0.81372; 
Frame 731, Rot 1.17869, Dist 0.861293; 
Frame 732, Rot 0.00446773, Dist 0.0136735; 
Frame 733, Rot 0.00235141, Dist 0.00943428; 
Frame 734, Rot 0, Dist0; 
Frame 735, Rot 0.023945, Dist 0.108241; 
Frame 736, Rot 0.0258213, Dist 0.08017; 
Frame 737, Rot 0.00402731, Dist 0.00557056; 
Frame 738, Rot 1.18101, Dist 0.857451; 
Frame 738, Rot 1.18016, Dist 0.846244; 
Frame 739, Rot 0.00608212, Dist 0.016977; 
Frame 740, Rot 0.0108801, Dist 0.00693598; 
Frame 741, Rot 0.00459976, Dist 0.0169816; 
Frame 742, Rot 0.00459263, Dist 0.0159495; 
Frame 743, Rot 0.00311895, Dist 0.0266191; 
Frame 744, Rot 0.00719271, Dist 0.00470678; 
Frame 745, Rot 0, Dist0; 
Frame 746, Rot 0.00479878, Dist 0.0171164; 
Frame 747, Rot 0.00523294, Dist 0.00841448; 
Frame 748, Rot 0.00294934, Dist 0.0187759; 
Frame 749, Rot 0.00112291, Dist 0.0164949; 
Frame 750, Rot 1.18253, Dist 0.776299; 
Frame 750, Rot 1.18057, Dist 0.757467; 
Frame 751, Rot 0.0106932, Dist 0.0593136; 
Frame 752, Rot 0.00929661, Dist 0.0513808; 
Frame 753, Rot 0.000296729, Dist 0.00699989; 
Frame 754, Rot 0.00689054, Dist 0.00367676; 
Frame 755, Rot 0.00705807, Dist 0.0423031; 
Frame 756, Rot 0.00749525, Dist 0.0522756; 
Frame 757, Rot 0, Dist0; 
Frame 758, Rot 0.0124011, Dist 0.0165074; 
Frame 759, Rot 0.00474734, Dist 0.0245296; 
Frame 760, Rot 0.00233974, Dist 0.0335527; 
Frame 761, Rot 0.00219462, Dist 0.0127746; 
Frame 762, Rot 0.00208958, Dist 0.0333433; 
Frame 763, Rot 0.00169937, Dist 0.0380409; 
Frame 764, Rot 0.00597013, Dist 0.0200414; 
Frame 765, Rot 0.0113957, Dist 0.0305923; 
Frame 766, Rot 0.00379394, Dist 0.00727046; 
Frame 767, Rot 0.00857627, Dist 0.0452321; 
Frame 768, Rot 1.1815, Dist 0.861674; 
Frame 768, Rot 1.18296, Dist 0.893419; 
Frame 769, Rot 0.00195509, Dist 0.0271495; 
Frame 770, Rot 0.0216754, Dist 0.111413; 
Frame 771, Rot 0.0187187, Dist 0.0836734; 
Frame 772, Rot 0.00280714, Dist 0.0105253; 
Frame 773, Rot 0, Dist0; 
Frame 774, Rot 0.00374724, Dist 0.00811599; 
Frame 775, Rot 0.00824683, Dist 0.0371558; 
Frame 776, Rot 0.00516773, Dist 0.0239043; 
Frame 777, Rot 0, Dist0; 
Frame 778, Rot 0, Dist0; 
Frame 779, Rot 0.0048047, Dist 0.0207889; 
Frame 780, Rot 0.00600643, Dist 0.0181793; 
Frame 781, Rot 0.00214888, Dist 0.0125874; 
Frame 782, Rot 0.00534051, Dist 0.0240824; 
Frame 783, Rot 0.00235908, Dist 0.0105987; 
Frame 784, Rot 0.0102278, Dist 0.0449838; 
Frame 785, Rot 0.00218495, Dist 0.0468219; 
Frame 786, Rot 0.00587946, Dist 0.0441975; 
Frame 787, Rot 0.00850224, Dist 0.0348325; 
Frame 788, Rot 0.00693324, Dist 0.0517997; 
Frame 789, Rot 0.00453093, Dist 0.0459385; 
Frame 790, Rot 0.00482525, Dist 0.0123137; 
Frame 791, Rot 0.0033135, Dist 0.0325725; 
Frame 792, Rot 0, Dist0; 
Frame 793, Rot 1.99997, Dist 0.0570865; 
Frame 794, Rot 1.99998, Dist 0.01931; 
Frame 795, Rot 0.00556246, Dist 0.0680439; 
Frame 796, Rot 0.004296, Dist 0.0578885; 
Frame 797, Rot 0.0106883, Dist 0.00213144; 
Frame 798, Rot 1.99999, Dist 0.0296714; 
Frame 799, Rot 0.0294767, Dist 0.0653172; 
Frame 800, Rot 1.99973, Dist 0.136401; 
Frame 801, Rot 0.00790065, Dist 0.0216859; 
Frame 802, Rot 0.0149717, Dist 0.102609; 
Frame 803, Rot 0.00290637, Dist 0.0408419; 
Frame 804, Rot 0.00632924, Dist 0.0083179; 
Frame 805, Rot 1.69285, Dist 0.0109979; 
Frame 806, Rot 1.69404, Dist 0.0232428; 
Frame 807, Rot 0.00557597, Dist 0.0516649; 
Frame 808, Rot 0.0019788, Dist 0.0266086; 
Frame 809, Rot 0.00305759, Dist 0.0784753; 
Frame 810, Rot 0, Dist0; 
Frame 811, Rot 0.0104629, Dist 0.0850667; 
Frame 812, Rot 0.00778386, Dist 0.0594382; 
Frame 813, Rot 0.00559742, Dist 0.00991087; 
Frame 814, Rot 0.00439575, Dist 0.00978484; 
Frame 815, Rot 0.0024584, Dist 0.0382482; 
Frame 816, Rot 0.00713392, Dist 0.00743725; 
Frame 817, Rot 0.574798, Dist 17.2237; 
Frame 818, Rot 0.572931, Dist 17.2097; 
Frame 819, Rot 1.71543, Dist 0.0360678; 
Frame 820, Rot 0.00860644, Dist 0.00863454; 
Frame 821, Rot 0.00936471, Dist 0.0884195; 
Frame 822, Rot 0.00365854, Dist 0.0301087; 
Frame 823, Rot 0.00989264, Dist 0.0136176; 
Frame 824, Rot 0.0295105, Dist 0.0560931; 
Frame 825, Rot 0, Dist0; 
Frame 826, Rot 0.00916753, Dist 0.0386417; 
