Frame 1, x 0, y 0, z 0; 
Frame 139, x 4.64775, y 3.49829, z 33.9684; 
Frame 140, x 4.64775, y 3.49829, z 33.9684; 
Frame 141, x 4.64775, y 3.49829, z 33.9684; 
Frame 142, x 4.64775, y 3.49829, z 33.9684; 
Frame 143, x 4.64775, y 3.49829, z 33.9684; 
Frame 144, x 4.64775, y 3.49829, z 33.9684; 
Frame 145, x 4.64775, y 3.49829, z 33.9684; 
Frame 146, x 4.64775, y 3.49829, z 33.9684; 
Frame 147, x 4.64775, y 3.49829, z 33.9684; 
Frame 148, x 6.37627, y 2.54641, z 32.7911; 
Frame 149, x 6.39505, y 2.55858, z 32.8441; 
Frame 150, x 6.39218, y 2.56521, z 32.7733; 
Frame 151, x 6.395, y 2.58461, z 32.7695; 
Frame 152, x 6.38823, y 2.60388, z 32.7276; 
Frame 153, x 6.39638, y 2.63323, z 32.7396; 
Frame 154, x 6.41615, y 2.66652, z 32.7762; 
Frame 155, x 6.42593, y 2.68981, z 32.7356; 
Frame 157, x 6.42593, y 2.68981, z 32.7356; 
Frame 158, x 6.48416, y 2.74022, z 32.8054; 
Frame 159, x 6.51175, y 2.76344, z 32.7215; 
Frame 160, x 6.54969, y 2.79539, z 32.7317; 
Frame 161, x 6.56405, y 2.82224, z 32.6703; 
Frame 162, x 6.59366, y 2.85284, z 32.6837; 
Frame 164, x 6.63371, y 2.86838, z 32.6677; 
Frame 165, x 6.68334, y 2.88217, z 32.7262; 
Frame 166, x 6.70572, y 2.88049, z 32.6917; 
Frame 167, x 6.74407, y 2.87599, z 32.7192; 
Frame 168, x 6.79907, y 2.86961, z 32.8107; 
Frame 169, x 6.79907, y 2.86961, z 32.8107; 
Frame 172, x 6.79907, y 2.86961, z 32.8107; 
Frame 183, x 6.79907, y 2.86961, z 32.8107; 
Frame 190, x 6.79907, y 2.86961, z 32.8107; 
Frame 191, x 6.79907, y 2.86961, z 32.8107; 
Frame 193, x 6.79907, y 2.86961, z 32.8107; 
Frame 200, x 6.79907, y 2.86961, z 32.8107; 
Frame 201, x 6.79907, y 2.86961, z 32.8107; 
Frame 202, x 6.79907, y 2.86961, z 32.8107; 
Frame 203, x 6.79907, y 2.86961, z 32.8107; 
Frame 204, x 6.79907, y 2.86961, z 32.8107; 
Frame 205, x 6.79907, y 2.86961, z 32.8107; 
Frame 206, x 6.79907, y 2.86961, z 32.8107; 
Frame 207, x 6.79907, y 2.86961, z 32.8107; 
Frame 208, x 6.79907, y 2.86961, z 32.8107; 
Frame 209, x 6.79907, y 2.86961, z 32.8107; 
Frame 210, x 6.79907, y 2.86961, z 32.8107; 
Frame 211, x 6.79907, y 2.86961, z 32.8107; 
Frame 212, x 6.79907, y 2.86961, z 32.8107; 
Frame 213, x 13.3378, y 1.79703, z 32.7305; 
Frame 214, x 13.3378, y 1.79703, z 32.7305; 
Frame 215, x 13.3378, y 1.79703, z 32.7305; 
Frame 216, x 13.3378, y 1.79703, z 32.7305; 
Frame 217, x 13.3692, y 1.79233, z 32.8942; 
Frame 218, x 13.3692, y 1.79233, z 32.8942; 
Frame 219, x 13.3692, y 1.79233, z 32.8942; 
Frame 222, x 13.4694, y 1.54082, z 33.3562; 
Frame 223, x 13.4933, y 1.5388, z 33.418; 
Frame 224, x 13.524, y 1.53319, z 33.4912; 
Frame 225, x 13.5672, y 1.52347, z 33.5669; 
Frame 226, x 13.6722, y 1.51461, z 33.7692; 
Frame 228, x 13.7721, y 1.47024, z 33.9029; 
Frame 229, x 13.8506, y 1.42489, z 33.9884; 
Frame 230, x 13.8506, y 1.42489, z 33.9884; 
Frame 232, x 13.9413, y 1.36851, z 34.0677; 
Frame 233, x 14.0044, y 1.31203, z 34.0877; 
Frame 234, x 14.0872, y 1.26389, z 34.1595; 
Frame 235, x 14.1637, y 1.22458, z 34.2192; 
Frame 236, x 14.2313, y 1.1927, z 34.2612; 
Frame 237, x 14.3069, y 1.16811, z 34.3182; 
Frame 238, x 14.3786, y 1.14715, z 34.3633; 
Frame 239, x 14.4655, y 1.13335, z 34.4424; 
Frame 240, x 14.4655, y 1.13335, z 34.4424; 
Frame 241, x 14.552, y 1.14561, z 34.5313; 
Frame 242, x 14.6182, y 1.15655, z 34.564; 
Frame 243, x 14.7278, y 1.17093, z 34.6945; 
Frame 244, x 14.7795, y 1.18923, z 34.7003; 
Frame 245, x 14.8512, y 1.2034, z 34.7552; 
Frame 247, x 14.8512, y 1.2034, z 34.7552; 
Frame 248, x 14.8512, y 1.2034, z 34.7552; 
Frame 249, x 14.8512, y 1.2034, z 34.7552; 
Frame 253, x 14.8512, y 1.2034, z 34.7552; 
Frame 256, x 14.8512, y 1.2034, z 34.7552; 
Frame 257, x 14.8512, y 1.2034, z 34.7552; 
Frame 258, x 14.8512, y 1.2034, z 34.7552; 
Frame 259, x 14.8512, y 1.2034, z 34.7552; 
Frame 260, x 14.8512, y 1.2034, z 34.7552; 
Frame 261, x 14.8512, y 1.2034, z 34.7552; 
Frame 262, x 14.8512, y 1.2034, z 34.7552; 
Frame 263, x 14.8512, y 1.2034, z 34.7552; 
Frame 264, x 14.8512, y 1.2034, z 34.7552; 
Frame 265, x 14.8512, y 1.2034, z 34.7552; 
Frame 266, x 14.8512, y 1.2034, z 34.7552; 
Frame 268, x 14.8512, y 1.2034, z 34.7552; 
